iter	RMSE
0	44.80178405
1	42.71899744
2	40.72571507
3	38.8497475
4	37.07448487
5	35.40913701
6	33.78432305
7	32.23742075
8	30.74125381
9	29.33534276
10	28.00980658
11	26.72723637
12	25.51136714
13	24.35591302
14	23.23743241
15	22.19561319
16	21.19280594
17	20.27186438
18	19.36154871
19	18.50664298
20	17.69084929
21	16.90517286
22	16.19675807
23	15.47709159
24	14.80964425
25	14.15705751
26	13.55534791
27	12.96085208
28	12.39301495
29	11.85018816
30	11.33079705
31	10.83605988
32	10.36530361
33	9.926545306
34	9.51054046
35	9.119029239
36	8.742505102
37	8.383133778
38	8.033354431
39	7.702670944
40	7.392612023
41	7.101225914
42	6.820464105
43	6.550570731
44	6.299968772
45	6.054025079
46	5.824793476
47	5.606979634
48	5.397393704
49	5.200471866
50	5.022222663
51	4.852654648
52	4.680451052
53	4.520863129
54	4.368064492
55	4.221555709
56	4.085091177
57	3.954960527
58	3.831198837
59	3.715768892
60	3.606087933
61	3.503235366
62	3.404333303
63	3.313633746
64	3.225357688
65	3.14296547
66	3.064926964
67	2.992547057
68	2.923152697
69	2.858047853
70	2.797349368
71	2.74008256
72	2.691424487
73	2.643207398
74	2.595160968
75	2.552183169
76	2.509593728
77	2.471212047
78	2.431105716
79	2.396524213
80	2.362474373
81	2.332471666
82	2.302904907
83	2.275512189
84	2.248584459
85	2.224357507
86	2.199983393
87	2.177097736
88	2.156636019
89	2.136523903
90	2.116531754
91	2.098055316
92	2.079310692
93	2.062054503
94	2.043711205
95	2.026476783
96	2.012485711
97	1.999281431
98	1.985715833
99	1.976791944
100	1.964547136
101	1.951916368
102	1.940926526
103	1.931436338
104	1.921831407
105	1.911324614
106	1.902021602
107	1.891622436
108	1.884973783
109	1.875965481
110	1.869141806
111	1.86013257
112	1.857822284
113	1.847142357
114	1.838420403
115	1.831402484
116	1.825212355
117	1.818688346
118	1.809622075
119	1.803173287
120	1.797535882
121	1.790951307
122	1.784820511
123	1.77991338
124	1.776880978
125	1.770129576
126	1.764372109
127	1.75770553
128	1.75205054
129	1.743826725
130	1.738567701
131	1.732835276
132	1.727934469
133	1.724773371
134	1.72184964
135	1.716946556
136	1.716024165
137	1.711938839
138	1.708168512
139	1.705626418
140	1.700693573
141	1.696465642
142	1.694578559
143	1.691549549
144	1.685129091
145	1.682380141
146	1.675691716
147	1.670340891
148	1.665789142
149	1.660700056
150	1.656176005
151	1.651562667
152	1.647456169
153	1.643012823
154	1.639171404
155	1.634053321
156	1.628448631
157	1.625906578
158	1.620536351
159	1.617820367
160	1.615863406
161	1.612575964
162	1.608664588
163	1.603067284
164	1.597306317
165	1.594841985
166	1.592110112
167	1.5885073
168	1.584323826
169	1.579257601
170	1.575324169
171	1.570302442
172	1.565845909
173	1.562038378
174	1.556265019
175	1.551014602
176	1.54532404
177	1.544735396
178	1.539507895
179	1.532726226
180	1.529201164
181	1.525168816
182	1.522089499
183	1.51781209
184	1.51182561
185	1.509805296
186	1.5062556
187	1.501502074
188	1.498165345
189	1.495000029
190	1.489460108
191	1.485401563
192	1.481808999
193	1.478274312
194	1.474556931
195	1.470570609
196	1.468151125
197	1.465096058
198	1.462320468
199	1.456716296
200	1.45370763
201	1.45018046
202	1.448055934
203	1.444059165
204	1.439312224
205	1.43593419
206	1.433855
207	1.432102886
208	1.428499496
209	1.423180215
210	1.421462145
211	1.418275795
212	1.414727035
213	1.411392155
214	1.409870833
215	1.407273131
216	1.402679415
217	1.401737235
218	1.399794321
219	1.397038835
220	1.392522254
221	1.391001212
222	1.388398755
223	1.386056709
224	1.384900583
225	1.381916017
226	1.377308983
227	1.375389839
228	1.372277741
229	1.370265842
230	1.367637521
231	1.36440025
232	1.361608419
233	1.358040855
234	1.355659358
235	1.354165907
236	1.353851077
237	1.350228339
238	1.348173502
239	1.348044607
240	1.346207396
241	1.346082778
242	1.341037893
243	1.338472113
244	1.336259746
245	1.330937664
246	1.328642056
247	1.323533265
248	1.319985932
249	1.31678227
250	1.313654608
251	1.311351442
252	1.308249596
253	1.304578426
254	1.29981117
255	1.295022956
256	1.292730371
257	1.290600189
258	1.286462389
259	1.283800878
260	1.279258141
261	1.275193375
262	1.271280995
263	1.269643967
264	1.267391896
265	1.264314436
266	1.261542515
267	1.260264562
268	1.25554082
269	1.253721985
270	1.251219616
271	1.249288304
272	1.245353385
273	1.241374082
274	1.239894756
275	1.237638412
276	1.234869233
277	1.232204623
278	1.230613757
279	1.228298899
280	1.226231038
281	1.224593992
282	1.223017133
283	1.21978069
284	1.217822514
285	1.216611617
286	1.214583341
287	1.211945492
288	1.210251511
289	1.206973558
290	1.20577967
291	1.204436926
292	1.202229249
293	1.199897124
294	1.198323513
295	1.195040624
296	1.193114597
297	1.19140145
298	1.187493417
299	1.186420822
300	1.184749637
301	1.181620536
302	1.177714782
303	1.176114165
304	1.174989131
305	1.17354696
306	1.170131955
307	1.167141684
308	1.163815075
309	1.162236862
310	1.160947757
311	1.159198811
312	1.157656057
313	1.155751136
314	1.153225829
315	1.152277402
316	1.14957377
317	1.148325144
318	1.147070779
319	1.146320734
320	1.143175027
321	1.14172201
322	1.138888704
323	1.136306764
324	1.135300842
325	1.133990913
326	1.13138424
327	1.129812599
328	1.128752755
329	1.126213826
330	1.124097724
331	1.122660773
332	1.120132808
333	1.118459344
334	1.115756909
335	1.115368769
336	1.113046635
337	1.11063074
338	1.109513728
339	1.10799814
340	1.105626302
341	1.103449196
342	1.103345486
343	1.101879499
344	1.100763536
345	1.099276097
346	1.097820078
347	1.095651971
348	1.092523513
349	1.091524588
350	1.089234915
351	1.088881109
352	1.088800964
353	1.086892014
354	1.084736445
355	1.083793117
356	1.083675749
357	1.082400641
358	1.081646358
359	1.081561789
360	1.080076724
361	1.078176705
362	1.077489969
363	1.076453581
364	1.075131847
365	1.074167107
366	1.071306773
367	1.070557016
368	1.070203662
369	1.069219167
370	1.06722963
371	1.066495984
372	1.065603586
373	1.064808663
374	1.063590831
375	1.062687164
376	1.059902683
377	1.059823909
