iter	Passed	Remaining
0	46	22957
1	85	21170
2	122	20354
3	157	19522
4	193	19169
5	229	18910
6	265	18716
7	302	18624
8	340	18586
9	378	18558
10	426	18968
11	473	19248
12	516	19363
13	555	19270
14	590	19083
15	626	18940
16	665	18918
17	701	18795
18	737	18662
19	774	18582
20	812	18533
21	849	18456
22	887	18401
23	923	18306
24	958	18207
25	993	18113
26	1031	18075
27	1067	17999
28	1103	17922
29	1137	17814
30	1174	17771
31	1219	17837
32	1259	17819
33	1298	17798
34	1334	17729
35	1371	17682
36	1408	17624
37	1446	17584
38	1483	17530
39	1519	17477
40	1565	17528
41	1609	17550
42	1654	17578
43	1689	17507
44	1723	17426
45	1757	17345
46	1789	17249
47	1823	17173
48	1857	17093
49	1890	17015
50	1924	16940
51	1957	16864
52	1989	16782
53	2031	16780
54	2069	16743
55	2108	16715
56	2144	16668
57	2179	16612
58	2214	16552
59	2248	16488
60	2280	16412
61	2314	16351
62	2348	16289
63	2381	16222
64	2414	16155
65	2448	16103
66	2484	16056
67	2518	15998
68	2552	15942
69	2585	15880
70	2618	15824
71	2653	15770
72	2693	15753
73	2735	15749
74	2777	15739
75	2817	15716
76	2853	15673
77	2889	15630
78	2921	15569
79	2955	15516
80	2990	15466
81	3025	15421
82	3058	15368
83	3093	15320
84	3128	15274
85	3163	15226
86	3198	15185
87	3237	15156
88	3272	15111
89	3307	15066
90	3342	15021
91	3378	14982
92	3413	14940
93	3448	14894
94	3483	14850
95	3521	14821
96	3556	14775
97	3591	14733
98	3628	14696
99	3655	14620
100	3693	14592
101	3729	14552
102	3765	14512
103	3799	14467
104	3835	14428
105	3876	14408
106	3920	14398
107	3966	14398
108	4005	14366
109	4041	14328
110	4075	14282
111	4109	14236
112	4143	14189
113	4183	14164
114	4223	14140
115	4259	14099
116	4294	14058
117	4328	14013
118	4366	13979
119	4400	13934
120	4435	13893
121	4471	13853
122	4506	13812
123	4541	13770
124	4576	13728
125	4612	13692
126	4647	13648
127	4684	13615
128	4718	13570
129	4755	13533
130	4790	13494
131	4825	13452
132	4862	13418
133	4888	13352
134	4921	13306
135	4955	13263
136	4990	13222
137	5034	13207
138	5085	13207
139	5132	13196
140	5181	13193
141	5222	13166
142	5267	13151
143	5309	13127
144	5351	13101
145	5391	13071
146	5437	13057
147	5479	13032
148	5519	13002
149	5564	12983
150	5603	12951
151	5646	12927
152	5687	12898
153	5727	12869
154	5769	12841
155	5817	12827
156	5864	12812
157	5905	12782
158	5952	12766
159	5995	12739
160	6048	12735
161	6102	12733
162	6159	12733
163	6226	12757
164	6292	12775
165	6348	12773
166	6404	12769
167	6454	12755
168	6501	12733
169	6553	12721
170	6598	12695
171	6646	12674
172	6695	12655
173	6747	12641
174	6811	12649
175	6875	12656
176	6929	12645
177	6981	12629
178	7028	12604
179	7083	12593
180	7130	12566
181	7179	12544
182	7229	12523
183	7276	12497
184	7335	12489
